Item Type,Brand,Age (Years),Condition,Weight (kg),Material Composition,Battery Included,Visible Damage,Screen Condition,Rust Presence,Wiring Condition,Resale Potential,Scrap Price (₹),Estimated Repair Cost (₹),Final Amount Paid (₹)
Microwave,Panasonic,7,Scrap,1.4,Metal,No,Yes,N/A,No,N/A,High,185.95,0,185.95
Mobile,Oppo,11,Working,19.0,"Glass, Plastic, Metal",Yes,No,No Damage,No,N/A,High,4751.67,0,4751.67
Mobile,Apple,10,Partially Working,38.8,Plastic,No,No,Missing Parts,No,N/A,Low,2365.18,2983,0.0
AC,Daikin,1,Working,28.3,Metal,No,No,N/A,Yes,Damaged Wires,High,3681.27,0,3681.27
AC,LG,12,Scrap,33.1,Metal,No,No,N/A,Yes,Damaged Wires,Medium,6189.06,0,6189.06
Refrigerator,Samsung,7,Scrap,44.2,Metal,No,No,N/A,Yes,N/A,Low,7253.08,0,7253.08
Washing Machine,IFB,5,Non-Working,49.9,"Plastic, Glass",No,No,N/A,No,N/A,Low,14782.85,1477,13305.85
Washing Machine,Samsung,2,Scrap,9.8,"Metal, Plastic",No,Yes,N/A,Yes,N/A,High,1682.75,0,1682.75
Laptop,Apple,4,Working,11.1,Metal,Yes,Yes,No Damage,Yes,Slightly Worn,Low,1389.13,0,1389.13
Microwave,Panasonic,3,Partially Working,32.5,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Low,8281.49,705,7576.49
Refrigerator,Samsung,7,Scrap,29.2,Plastic,No,Yes,N/A,No,N/A,Medium,6275.86,0,6275.86
Laptop,Lenovo,8,Working,47.7,"Glass, Plastic, Metal",Yes,No,Cracked,Yes,Intact,High,4280.26,0,4280.26
Printer,Canon,15,Non-Working,43.3,Plastic,No,No,N/A,No,Damaged Wires,High,10419.27,2992,7427.27
Laptop,Acer,15,Partially Working,47.0,"Plastic, Glass",No,Yes,Cracked,No,Damaged Wires,High,4527.3,1704,2823.3
Mobile,Vivo,13,Non-Working,10.8,Plastic,Yes,Yes,Cracked,No,N/A,Low,2885.39,1191,1694.3899999999999
Mobile,Apple,7,Scrap,48.7,"Glass, Plastic, Metal",No,Yes,No Damage,No,N/A,Low,6829.1,0,6829.1
Washing Machine,Bosch,14,Scrap,16.6,"Plastic, Glass",No,Yes,N/A,No,N/A,Medium,840.99,0,840.99
Refrigerator,Godrej,9,Partially Working,11.1,"Metal, Plastic",No,Yes,N/A,No,N/A,High,736.18,3129,0.0
Printer,HP,7,Non-Working,54.4,"Plastic, Glass",No,No,N/A,No,Slightly Worn,High,6537.57,3222,3315.5699999999997
TV,Samsung,2,Working,19.5,"Metal, Plastic",No,No,Missing Parts,No,Intact,High,1005.36,0,1005.36
Laptop,Dell,15,Working,25.9,"Glass, Plastic, Metal",Yes,No,Cracked,Yes,Slightly Worn,Low,1596.14,0,1596.14
AC,Hitachi,14,Working,46.5,Metal,No,No,N/A,No,Damaged Wires,Medium,8563.7,0,8563.7
Mobile,Oppo,9,Non-Working,58.0,Metal,Yes,No,Missing Parts,No,N/A,Medium,14077.63,511,13566.63
TV,Panasonic,2,Partially Working,21.2,Metal,No,Yes,Minor Scratches,Yes,Intact,Low,4818.01,3597,1221.0100000000002
Washing Machine,IFB,7,Working,13.0,Plastic,No,No,N/A,No,N/A,Low,3387.61,0,3387.61
Washing Machine,LG,1,Scrap,15.0,Plastic,No,No,N/A,No,N/A,Low,3528.94,0,3528.94
AC,Hitachi,12,Working,26.4,"Metal, Plastic",No,No,N/A,No,Damaged Wires,Medium,2517.55,0,2517.55
Washing Machine,Bosch,6,Scrap,37.8,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Low,3860.07,0,3860.07
AC,Hitachi,11,Scrap,19.6,"Glass, Plastic, Metal",No,No,N/A,Yes,Intact,High,3114.05,0,3114.05
Washing Machine,Samsung,13,Working,49.0,"Plastic, Glass",No,Yes,N/A,No,N/A,Low,11340.97,0,11340.97
TV,Panasonic,13,Working,38.2,Plastic,No,No,Missing Parts,No,Damaged Wires,Low,4829.72,0,4829.72
Printer,Canon,14,Non-Working,19.5,Plastic,No,Yes,N/A,No,Intact,High,3899.99,463,3436.99
Laptop,Lenovo,13,Non-Working,21.5,"Plastic, Glass",No,Yes,No Damage,No,Damaged Wires,High,2809.31,2639,170.30999999999995
Refrigerator,Whirlpool,15,Working,7.1,"Plastic, Glass",No,No,N/A,No,N/A,Low,1764.89,0,1764.89
Laptop,Apple,13,Working,53.0,"Plastic, Glass",Yes,Yes,Missing Parts,No,Slightly Worn,High,13111.56,0,13111.56
Refrigerator,Whirlpool,15,Non-Working,6.9,"Metal, Plastic",No,Yes,N/A,Yes,N/A,High,923.0,2071,0.0
TV,Samsung,11,Partially Working,2.8,"Plastic, Glass",No,Yes,Minor Scratches,No,Slightly Worn,High,808.59,2987,0.0
Refrigerator,Whirlpool,5,Partially Working,13.7,Metal,No,Yes,N/A,Yes,N/A,Medium,3774.39,3206,568.3899999999999
Printer,Canon,15,Non-Working,5.6,Metal,No,Yes,N/A,No,Slightly Worn,Low,824.6,3828,0.0
AC,Daikin,2,Partially Working,41.2,"Plastic, Glass",No,Yes,N/A,No,Damaged Wires,High,11699.75,3216,8483.75
Laptop,Apple,5,Working,19.9,"Metal, Plastic",No,Yes,Cracked,Yes,Slightly Worn,Low,1065.15,0,1065.15
Washing Machine,IFB,1,Non-Working,39.6,Plastic,No,Yes,N/A,No,N/A,Medium,6255.38,2370,3885.38
Refrigerator,LG,6,Scrap,14.4,Plastic,No,Yes,N/A,No,N/A,Low,3155.89,0,3155.89
Mobile,Samsung,12,Partially Working,15.0,"Metal, Plastic",No,No,Missing Parts,No,N/A,Low,1835.88,169,1666.88
Laptop,Acer,15,Partially Working,43.0,"Metal, Plastic",No,Yes,Cracked,Yes,Slightly Worn,Medium,2378.5,718,1660.5
Refrigerator,Godrej,11,Working,7.5,Plastic,No,Yes,N/A,No,N/A,Low,648.67,0,648.67
TV,LG,9,Partially Working,10.3,Plastic,No,Yes,Minor Scratches,No,Intact,Medium,3079.18,1012,2067.18
Laptop,Lenovo,7,Working,33.8,"Plastic, Glass",No,Yes,Cracked,No,Damaged Wires,Medium,3141.25,0,3141.25
Washing Machine,IFB,6,Working,10.7,Plastic,No,Yes,N/A,No,N/A,High,1302.21,0,1302.21
Printer,HP,12,Partially Working,43.1,"Plastic, Glass",No,Yes,N/A,No,Damaged Wires,Medium,9938.42,1876,8062.42
Printer,Canon,2,Partially Working,14.1,Metal,No,Yes,N/A,No,Damaged Wires,Medium,2675.6,3696,0.0
Laptop,Dell,5,Partially Working,43.9,Metal,Yes,No,Cracked,No,Damaged Wires,Medium,9236.67,2727,6509.67
Mobile,OnePlus,12,Working,43.0,Plastic,Yes,No,Cracked,No,N/A,High,9117.2,0,9117.2
TV,Samsung,9,Partially Working,52.1,Metal,No,Yes,Missing Parts,Yes,Intact,Low,13787.09,2358,11429.09
Washing Machine,IFB,13,Scrap,24.6,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Medium,2483.73,0,2483.73
AC,Voltas,8,Non-Working,24.5,Metal,No,No,N/A,Yes,Damaged Wires,Low,2847.41,3946,0.0
AC,Voltas,6,Partially Working,14.8,Plastic,No,No,N/A,No,Intact,Medium,4081.26,3829,252.26000000000022
Laptop,Acer,6,Working,18.4,"Plastic, Glass",Yes,No,No Damage,No,Intact,Medium,4976.62,0,4976.62
Laptop,Lenovo,9,Working,5.0,"Metal, Plastic",No,No,No Damage,Yes,Slightly Worn,High,284.0,0,284.0
Mobile,Vivo,8,Scrap,14.4,"Plastic, Glass",Yes,Yes,No Damage,No,N/A,High,2494.55,0,2494.55
TV,Panasonic,14,Working,55.2,"Glass, Plastic, Metal",No,No,Missing Parts,No,Damaged Wires,Low,4504.25,0,4504.25
Washing Machine,Bosch,11,Scrap,29.7,Plastic,No,No,N/A,No,N/A,Low,8469.74,0,8469.74
Printer,Canon,10,Working,9.0,"Plastic, Glass",No,Yes,N/A,No,Damaged Wires,Low,2586.05,0,2586.05
Laptop,Acer,14,Partially Working,3.9,Metal,No,Yes,Cracked,No,Damaged Wires,Low,341.15,1036,0.0
Refrigerator,Whirlpool,10,Non-Working,19.8,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Medium,4474.61,2099,2375.6099999999997
AC,Hitachi,1,Working,40.2,Metal,No,Yes,N/A,Yes,Slightly Worn,Low,7756.95,0,7756.95
Refrigerator,Whirlpool,7,Partially Working,5.9,Plastic,No,Yes,N/A,No,N/A,High,1363.86,1184,179.8599999999999
Washing Machine,Samsung,6,Scrap,43.6,"Metal, Plastic",No,Yes,N/A,No,N/A,High,7029.59,0,7029.59
Washing Machine,LG,7,Working,34.4,Plastic,No,No,N/A,No,N/A,Low,6660.52,0,6660.52
Printer,HP,11,Non-Working,15.9,"Metal, Plastic",No,Yes,N/A,No,Intact,Medium,803.41,1869,0.0
AC,LG,6,Scrap,54.6,"Glass, Plastic, Metal",No,No,N/A,Yes,Intact,Low,2910.79,0,2910.79
AC,Daikin,14,Scrap,12.2,Plastic,No,Yes,N/A,No,Slightly Worn,High,2261.6,0,2261.6
Printer,Epson,8,Partially Working,38.0,Plastic,No,Yes,N/A,No,Slightly Worn,Medium,4266.99,3150,1116.9899999999998
Refrigerator,Samsung,1,Scrap,44.0,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Medium,3198.24,0,3198.24
Laptop,Acer,5,Working,15.1,Plastic,Yes,Yes,Missing Parts,No,Slightly Worn,Medium,2929.78,0,2929.78
TV,Samsung,5,Non-Working,21.1,Plastic,No,No,No Damage,No,Slightly Worn,Low,6066.11,3292,2774.1099999999997
TV,Samsung,1,Partially Working,46.6,"Metal, Plastic",No,Yes,Missing Parts,No,Slightly Worn,Medium,3637.98,865,2772.98
Laptop,Apple,13,Scrap,21.4,"Glass, Plastic, Metal",Yes,Yes,Cracked,No,Slightly Worn,High,1296.92,0,1296.92
AC,Daikin,15,Non-Working,59.0,Metal,No,Yes,N/A,Yes,Intact,Medium,15718.28,3724,11994.28
Mobile,Apple,12,Non-Working,38.3,Plastic,No,No,Cracked,No,N/A,Medium,5087.42,548,4539.42
TV,LG,12,Working,18.4,Plastic,No,Yes,Cracked,No,Intact,High,3307.54,0,3307.54
TV,Panasonic,15,Working,50.6,"Plastic, Glass",No,No,Minor Scratches,No,Slightly Worn,Low,4815.68,0,4815.68
Washing Machine,IFB,8,Working,54.3,Plastic,No,No,N/A,No,N/A,Low,11745.98,0,11745.98
Microwave,Samsung,3,Partially Working,49.6,"Metal, Plastic",No,No,N/A,No,N/A,Medium,4176.15,3807,369.14999999999964
TV,LG,14,Scrap,6.6,Plastic,No,Yes,Missing Parts,No,Intact,Medium,350.75,0,350.75
Washing Machine,Bosch,12,Working,9.5,Metal,No,Yes,N/A,No,N/A,Low,2410.28,0,2410.28
Microwave,Panasonic,10,Scrap,12.3,"Plastic, Glass",No,No,N/A,No,N/A,Low,2010.06,0,2010.06
Washing Machine,IFB,8,Partially Working,39.0,"Plastic, Glass",No,Yes,N/A,No,N/A,High,2347.26,3490,0.0
Refrigerator,Whirlpool,4,Scrap,42.9,Plastic,No,No,N/A,No,N/A,Medium,7074.69,0,7074.69
Refrigerator,Samsung,7,Non-Working,4.0,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,High,418.12,2752,0.0
AC,Voltas,15,Working,46.4,"Plastic, Glass",No,No,N/A,No,Slightly Worn,Low,7295.11,0,7295.11
AC,Hitachi,6,Scrap,56.1,"Metal, Plastic",No,Yes,N/A,No,Slightly Worn,Medium,4031.38,0,4031.38
Printer,Canon,6,Working,6.8,Metal,No,Yes,N/A,Yes,Damaged Wires,High,1012.62,0,1012.62
Microwave,Panasonic,7,Partially Working,27.6,Plastic,No,No,N/A,No,N/A,Medium,4918.75,3492,1426.75
Microwave,Panasonic,5,Non-Working,30.4,"Plastic, Glass",No,No,N/A,No,N/A,Low,4086.71,2100,1986.71
Laptop,Dell,14,Non-Working,31.2,"Glass, Plastic, Metal",No,Yes,Minor Scratches,Yes,Intact,High,3373.93,928,2445.93
Laptop,Lenovo,12,Partially Working,21.5,"Metal, Plastic",No,No,Cracked,No,Slightly Worn,Low,3706.19,3468,238.19000000000005
Printer,HP,10,Scrap,22.3,Plastic,No,Yes,N/A,No,Slightly Worn,Low,2230.65,0,2230.65
TV,Sony,11,Scrap,31.8,Plastic,No,Yes,Minor Scratches,No,Damaged Wires,Medium,2401.56,0,2401.56
TV,Sony,5,Working,27.1,Plastic,No,No,No Damage,No,Damaged Wires,Low,3833.37,0,3833.37
TV,Sony,8,Working,27.8,"Glass, Plastic, Metal",No,Yes,No Damage,Yes,Intact,High,2824.73,0,2824.73
AC,Voltas,2,Working,14.5,Plastic,No,Yes,N/A,No,Damaged Wires,Low,3976.91,0,3976.91
Refrigerator,Samsung,3,Scrap,25.7,Plastic,No,Yes,N/A,No,N/A,High,6132.52,0,6132.52
TV,Samsung,8,Scrap,13.6,Metal,No,Yes,Minor Scratches,Yes,Intact,Medium,762.8,0,762.8
Mobile,OnePlus,3,Non-Working,42.0,"Glass, Plastic, Metal",No,Yes,Cracked,No,N/A,Low,7395.5,2170,5225.5
Microwave,Samsung,2,Partially Working,51.0,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Low,3843.4,715,3128.4
Laptop,Dell,1,Working,15.7,Plastic,No,Yes,Minor Scratches,No,Slightly Worn,Low,4573.09,0,4573.09
Washing Machine,Bosch,7,Non-Working,18.5,Plastic,No,Yes,N/A,No,N/A,Medium,2195.86,2571,0.0
Mobile,OnePlus,4,Non-Working,53.3,"Plastic, Glass",No,Yes,Missing Parts,No,N/A,High,14368.05,2140,12228.05
Refrigerator,Whirlpool,11,Scrap,7.5,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,High,1183.61,0,1183.61
Refrigerator,Samsung,11,Non-Working,41.5,Plastic,No,No,N/A,No,N/A,High,11295.75,3540,7755.75
Microwave,Samsung,1,Scrap,9.5,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Low,2056.54,0,2056.54
Printer,Canon,4,Working,1.5,"Glass, Plastic, Metal",No,Yes,N/A,Yes,Intact,Medium,439.79,0,439.79
Printer,HP,3,Partially Working,58.9,Metal,No,Yes,N/A,Yes,Damaged Wires,Medium,5791.16,294,5497.16
AC,Voltas,15,Partially Working,19.9,"Glass, Plastic, Metal",No,No,N/A,Yes,Slightly Worn,Medium,2783.62,2672,111.61999999999989
Printer,Canon,11,Working,46.8,"Metal, Plastic",No,Yes,N/A,No,Slightly Worn,Low,13175.17,0,13175.17
Washing Machine,IFB,9,Non-Working,43.5,Plastic,No,Yes,N/A,No,N/A,High,10397.17,2930,7467.17
TV,Panasonic,13,Scrap,51.8,Plastic,No,No,Missing Parts,No,Slightly Worn,Medium,3481.02,0,3481.02
Laptop,HP,6,Working,26.3,Metal,Yes,Yes,Minor Scratches,No,Damaged Wires,Medium,4853.08,0,4853.08
Laptop,HP,7,Scrap,13.2,"Glass, Plastic, Metal",No,No,Cracked,Yes,Damaged Wires,Low,3533.3,0,3533.3
AC,Voltas,5,Scrap,13.0,Plastic,No,No,N/A,No,Damaged Wires,Low,1111.66,0,1111.66
Microwave,Samsung,13,Non-Working,32.4,"Metal, Plastic",No,Yes,N/A,No,N/A,Medium,4505.56,322,4183.56
Mobile,OnePlus,11,Scrap,24.2,"Metal, Plastic",Yes,Yes,Cracked,No,N/A,Low,5658.12,0,5658.12
Printer,Canon,15,Scrap,16.0,Plastic,No,Yes,N/A,No,Damaged Wires,Low,1783.58,0,1783.58
Mobile,Oppo,11,Scrap,5.6,Plastic,Yes,Yes,Cracked,No,N/A,Medium,1570.39,0,1570.39
Microwave,Panasonic,10,Partially Working,7.3,Plastic,No,Yes,N/A,No,N/A,Medium,1197.68,1323,0.0
TV,Sony,3,Working,24.8,"Plastic, Glass",No,No,Minor Scratches,No,Damaged Wires,Low,3467.64,0,3467.64
Washing Machine,Samsung,8,Working,3.8,"Metal, Plastic",No,Yes,N/A,No,N/A,Medium,381.98,0,381.98
Printer,Canon,11,Scrap,32.1,Metal,No,Yes,N/A,No,Damaged Wires,Low,1972.95,0,1972.95
Mobile,Vivo,1,Partially Working,10.6,Plastic,No,No,Missing Parts,No,N/A,High,1674.56,3825,0.0
Printer,Canon,15,Working,12.4,Plastic,No,Yes,N/A,No,Damaged Wires,Low,1100.71,0,1100.71
TV,Samsung,15,Working,41.8,"Glass, Plastic, Metal",No,No,No Damage,Yes,Slightly Worn,Low,5370.93,0,5370.93
Printer,Canon,2,Scrap,33.8,Metal,No,Yes,N/A,Yes,Slightly Worn,High,9860.97,0,9860.97
Mobile,Oppo,9,Non-Working,38.9,"Metal, Plastic",No,Yes,No Damage,Yes,N/A,Medium,7756.9,1429,6327.9
Laptop,Dell,13,Non-Working,55.6,"Glass, Plastic, Metal",No,No,Cracked,No,Intact,Low,11249.42,2420,8829.42
Mobile,Apple,14,Partially Working,23.6,Plastic,No,No,Missing Parts,No,N/A,Medium,5465.78,3396,2069.7799999999997
Mobile,Apple,14,Non-Working,54.5,"Metal, Plastic",No,No,Missing Parts,Yes,N/A,Medium,6350.25,3542,2808.25
Laptop,Lenovo,4,Non-Working,56.4,"Plastic, Glass",No,Yes,Missing Parts,No,Slightly Worn,Medium,8275.25,2851,5424.25
Printer,HP,13,Partially Working,19.4,"Glass, Plastic, Metal",No,Yes,N/A,No,Intact,High,2962.34,1570,1392.3400000000001
TV,Samsung,6,Working,42.5,Metal,No,No,No Damage,Yes,Intact,Medium,5841.26,0,5841.26
Microwave,LG,11,Partially Working,43.8,Metal,No,Yes,N/A,No,N/A,High,4736.29,1303,3433.29
Microwave,Samsung,1,Partially Working,28.9,"Metal, Plastic",No,Yes,N/A,No,N/A,Medium,5065.48,1159,3906.4799999999996
Mobile,Vivo,11,Non-Working,3.2,Plastic,Yes,Yes,Missing Parts,No,N/A,High,655.87,3460,0.0
Microwave,LG,13,Non-Working,24.3,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Medium,5844.26,1565,4279.26
AC,Voltas,7,Non-Working,29.8,Metal,No,Yes,N/A,Yes,Slightly Worn,Medium,3399.66,3235,164.65999999999985
AC,Hitachi,7,Non-Working,30.6,Plastic,No,No,N/A,No,Damaged Wires,Medium,8749.74,1590,7159.74
Laptop,Apple,11,Partially Working,53.7,Metal,No,No,No Damage,Yes,Slightly Worn,Low,13765.14,1098,12667.14
Microwave,LG,7,Working,21.1,Metal,No,Yes,N/A,No,N/A,High,6295.43,0,6295.43
Mobile,OnePlus,8,Partially Working,43.3,Plastic,No,No,No Damage,No,N/A,High,8746.61,3779,4967.610000000001
Microwave,Panasonic,9,Scrap,19.4,Plastic,No,Yes,N/A,No,N/A,Medium,4969.39,0,4969.39
Washing Machine,Bosch,15,Non-Working,4.7,"Plastic, Glass",No,Yes,N/A,No,N/A,Low,706.78,3948,0.0
Washing Machine,IFB,12,Working,39.8,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Low,7596.67,0,7596.67
Mobile,Samsung,5,Scrap,34.5,"Glass, Plastic, Metal",No,Yes,Missing Parts,Yes,N/A,Low,6223.46,0,6223.46
AC,Daikin,14,Non-Working,59.4,Plastic,No,Yes,N/A,No,Intact,High,10452.25,2765,7687.25
TV,Sony,14,Non-Working,40.3,Plastic,No,No,Cracked,No,Slightly Worn,Medium,6058.69,1757,4301.69
AC,Voltas,8,Partially Working,14.5,"Metal, Plastic",No,Yes,N/A,No,Damaged Wires,High,3535.01,944,2591.01
Mobile,Apple,7,Working,55.0,"Metal, Plastic",No,No,Cracked,No,N/A,High,5318.58,0,5318.58
AC,Hitachi,7,Scrap,45.2,Metal,No,Yes,N/A,Yes,Slightly Worn,Low,12351.64,0,12351.64
Washing Machine,IFB,2,Working,34.4,"Plastic, Glass",No,No,N/A,No,N/A,Low,4942.66,0,4942.66
Laptop,Acer,13,Partially Working,24.1,Plastic,Yes,No,Missing Parts,No,Damaged Wires,Low,6736.52,2237,4499.52
Printer,Epson,3,Working,18.9,"Plastic, Glass",No,Yes,N/A,No,Damaged Wires,Medium,3490.08,0,3490.08
TV,LG,2,Partially Working,31.4,Metal,No,No,No Damage,Yes,Damaged Wires,High,6141.56,1967,4174.56
Refrigerator,Samsung,3,Scrap,22.1,"Plastic, Glass",No,No,N/A,No,N/A,High,4411.13,0,4411.13
Washing Machine,IFB,15,Non-Working,37.9,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,High,5273.04,2288,2985.04
Washing Machine,Samsung,13,Non-Working,39.8,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Low,3398.08,3480,0.0
Refrigerator,Godrej,5,Working,24.2,"Glass, Plastic, Metal",No,No,N/A,No,N/A,High,6133.15,0,6133.15
Microwave,LG,13,Working,10.9,Plastic,No,No,N/A,No,N/A,Medium,2924.75,0,2924.75
Microwave,Panasonic,4,Scrap,39.9,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Medium,9554.02,0,9554.02
Mobile,Samsung,1,Non-Working,41.0,Plastic,Yes,Yes,Minor Scratches,No,N/A,High,9238.13,3753,5485.129999999999
Mobile,Apple,5,Scrap,58.3,Plastic,No,Yes,Missing Parts,No,N/A,High,6317.83,0,6317.83
Printer,Canon,3,Partially Working,53.4,"Metal, Plastic",No,No,N/A,Yes,Damaged Wires,High,5868.77,1812,4056.7700000000004
Washing Machine,IFB,14,Scrap,5.1,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Medium,1039.77,0,1039.77
Mobile,Vivo,4,Scrap,25.3,Metal,No,No,Cracked,Yes,N/A,High,5601.48,0,5601.48
TV,Sony,10,Scrap,5.9,Plastic,No,Yes,Cracked,No,Intact,High,1221.53,0,1221.53
Printer,HP,12,Non-Working,36.7,"Glass, Plastic, Metal",No,No,N/A,Yes,Intact,High,10924.98,2771,8153.98
TV,Samsung,14,Scrap,23.8,Metal,No,Yes,Missing Parts,Yes,Slightly Worn,Medium,6220.87,0,6220.87
Laptop,Lenovo,9,Non-Working,30.1,Plastic,Yes,No,No Damage,No,Intact,Medium,4593.23,413,4180.23
Microwave,LG,4,Partially Working,52.0,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Low,13343.85,1016,12327.85
Printer,Canon,3,Non-Working,19.6,Plastic,No,Yes,N/A,No,Intact,Low,3300.04,701,2599.04
AC,LG,2,Partially Working,52.5,Plastic,No,Yes,N/A,No,Damaged Wires,High,14550.53,3084,11466.53
Washing Machine,LG,6,Non-Working,54.3,Metal,No,No,N/A,Yes,N/A,High,4293.69,3151,1142.6899999999996
AC,LG,8,Partially Working,0.5,Plastic,No,No,N/A,No,Intact,Low,46.32,2424,0.0
AC,Voltas,1,Scrap,5.7,Plastic,No,Yes,N/A,No,Damaged Wires,High,534.77,0,534.77
Laptop,Lenovo,14,Scrap,34.1,Plastic,No,No,Minor Scratches,No,Damaged Wires,Medium,3864.81,0,3864.81
